No.,TITLE,ARTIST
76,Freedom,Wham!
77,Too Late for Goodbyes,Julian Lennon
78,Valotte,Julian Lennon
79,Some Like It Hot,The Power Station
80,Solid,Ashford & Simpson
81,Angel,Madonna
82,I'm on Fire,Bruce Springsteen
83,Method of Modern Love,Daryl Hall & John Oates
84,Lay Your Hands on Me,Thompson Twins
85,Who's Holding Donna Now,DeBarge
86,Lonely Ol' Night,John Cougar Mellencamp
87,What About Love,Heart
88,California Girls,David Lee Roth
89,Fresh,Kool & the Gang
90,Do What You Do,Jermaine Jackson
91,Jungle Love,The Time
92,Born in the U.S.A.,Bruce Springsteen
93,Private Dancer,Tina Turner
94,Who's Zoomin' Who?,Aretha Franklin
95,Fortress Around Your Heart,Sting
96,Penny Lover,Lionel Richie
97,All She Wants to Do Is Dance,Don Henley
98,Dress You Up,Madonna
99,Sentimental Street,Night Ranger
100,Sugar Walls,Sheena Easton
1,Hold On,Wilson Phillips
2,It Must Have Been Love,Roxette
3,Nothing Compares 2 U,Sinéad O'Connor
4,Poison,Bell Biv DeVoe
5,Vogue,Madonna
6,Vision of Love,Mariah Carey
7,Another Day in Paradise,Phil Collins
8,Hold On,En Vogue
9,Cradle of Love,Billy Idol
10,Blaze of Glory,Jon Bon Jovi
11,Do Me!,Bell Biv DeVoe
12,How Am I Supposed to Live Without You,Michael Bolton
13,Pump Up the Jam,Technotronic
14,Opposites Attract,Paula Abdul
15,Escapade,Janet Jackson
16,All I Wanna Do Is Make Love to You,Heart
17,Close to You,Maxi Priest
18,Black Velvet,Alannah Myles
19,Release Me,Wilson Phillips
20,Don't Know Much,Linda Ronstadt featuring Aaron Neville
21,All Around the World,Lisa Stansfield
22,I Wanna Be Rich,Calloway
23,Rub You the Right Way,Johnny Gill
24,She Ain't Worth It,Glenn Medeiros featuring Bobby Brown
25,If Wishes Came True,Sweet Sensation
26,The Power,Snap!
27,(Can't Live Without Your) Love and Affection,Nelson
28,Love Will Lead You Back,Taylor Dayne
29,Don't Wanna Fall in Love,Jane Child
30,Two to Make It Right,Seduction
31,Sending All My Love,Linear
32,Unskinny Bop,Poison
33,Step by Step,New Kids on the Block
34,Dangerous,Roxette
35,We Didn't Start the Fire,Billy Joel
36,I Don't Have the Heart,James Ingram
37,Downtown Train,Rod Stewart
38,Rhythm Nation,Janet Jackson
39,I'll Be Your Everything,Tommy Page
40,Roam,The B-52's
41,Everything,Jody Watley
42,Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler
43,Here and Now,Luther Vandross
44,Alright,Janet Jackson
