No.,TITLE,ARTIST
37,Talking Body,Tove Lo
38,Jealous,Nick Jonas
39,Time of Our Lives,Pitbull and Ne-Yo
40,Locked Away,R. City featuring Adam Levine
41,Somebody,Natalie La Rose featuring Jeremih
42,FourFiveSeconds,Rihanna Kanye West and Paul McCartney
43,Centuries,Fall Out Boy
44,My Way,Fetty Wap featuring Monty
45,Take Your Time,Sam Hunt
46,Animals,Maroon 5
47,I Don't Fuck with You,Big Sean featuring E-40
48,Bitch Better Have My Money,Rihanna
49,Flex (Ooh Ooh Ooh),Rich Homie Quan
50,Nasty Freestyle,T-Wayne
51,Only,Nicki Minaj featuring Drake Lil Wayne and Chris Brown
52,Elastic Heart,Sia
53,Cool for the Summer,Demi Lovato
54,Renegades,X Ambassadors
55,I Don't Mind,Usher featuring Juicy J
56,Love Me Harder,Ariana Grande and The Weeknd
57,Wildest Dreams,Taylor Swift
58,Stay with Me,Sam Smith
59,You Know You Like It,DJ Snake and AlunaGeorge
60,Uma Thurman,Fall Out Boy
61,11-Jul,Beyoncé
62,The Heart Wants What It Wants,Selena Gomez
63,Girl Crush,Little Big Town
64,Slow Motion,Trey Songz
65,Drag Me Down,One Direction
66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne
67,One Last Time,Ariana Grande
68,Chains,Nick Jonas
69,All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj
70,No Type,Rae Sremmurd
71,Riptide,Vance Joy
72,Classic Man,Jidenna featuring Roman GianArthur
73,Ex's & Oh's,Elle King
74,Dear Future Husband,Meghan Trainor
75,Marvin Gaye,Charlie Puth featuring Meghan Trainor
76,Like I'm Gonna Lose You,Meghan Trainor featuring John Legend
77,Habits (Stay High),Tove Lo
78,The Hanging Tree,James Newton Howard featuring Jennifer Lawrence
79,CoCo,O.T. Genasis
80,Bang Bang,Jessie J Ariana Grande and Nicki Minaj
81,Lay Me Down,Sam Smith
82,Tuesday,ILoveMakonnen featuring Drake
83,Hit the Quan,iLoveMemphis
84,Downtown,Macklemore & Ryan Lewis featuring Eric Nally Melle Mel Kool Moe Dee and Grandmaster Caz
85,House Party,Sam Hunt
86,Ayo,Chris Brown and Tyga
87,Kick the Dust Up,Luke Bryan
88,Blessings,Big Sean featuring Drake and Kanye West
89,Budapest,George Ezra
90,Chandelier,Sia
91,Heartbeat Song,Kelly Clarkson
92,Don't,Ed Sheeran
93,Ghost,Ella Henderson
94,Here,Alessia Cara
95,Waves (Robin Schulz Remix),Mr Probz
96,El Perdón,Nicky Jam and Enrique Iglesias
97,She Knows,Ne-Yo featuring Juicy J
98,Night Changes,One Direction
99,Back to Back,Drake
100,How Deep Is Your Love,Calvin Harris and Disciples
1,Blinding Lights,The Weeknd
2,Circles,Post Malone
3,The Box,Roddy Ricch
4,Don't Start Now,Dua Lipa
5,Rockstar,DaBaby featuring Roddy Ricch
6,Adore You,Harry Styles
7,Life Is Good,Future featuring Drake
8,Memories,Maroon 5
9,The Bones,Maren Morris
10,Someone You Loved,Lewis Capaldi
11,Say So,Doja Cat
12,I Hope,Gabby Barrett featuring Charlie Puth
13,Whats Poppin,Jack Harlow featuring DaBaby Tory Lanez and Lil Wayne
14,Dance Monkey,Tones and I
15,Savage,Megan Thee Stallion featuring Beyoncé
16,Roxanne,Arizona Zervas
17,Intentions,Justin Bieber featuring Quavo
18,Everything I Wanted,Billie Eilish
19,Roses (Imanbek Remix),Saint Jhn
20,Watermelon Sugar,Harry Styles
21,Before You Go,Lewis Capaldi
22,Falling,Trevor Daniel
23,10000 Hours,Dan + Shay and Justin Bieber
24,WAP,Cardi B featuring Megan Thee Stallion
25,Ballin',Mustard featuring Roddy Ricch
26,Hot Girl Bummer,Blackbear
27,Blueberry Faygo,Lil Mosey
28,Heartless,The Weeknd
29,Bop,DaBaby
30,Lose You to Love Me,Selena Gomez
31,Good as Hell,Lizzo
32,Toosie Slide,Drake
33,Break My Heart,Dua Lipa
34,Chasin' You,Morgan Wallen
35,Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo
36,No Guidance,Chris Brown featuring Drake
37,My Oh My,Camila Cabello featuring DaBaby
38,Dynamite,BTS
39,Go Crazy,Chris Brown and Young Thug
40,High Fashion,Roddy Ricch featuring Mustard
41,Laugh Now Cry Later,Drake featuring Lil Durk
42,Woah,Lil Baby
43,Death Bed,Powfu featuring Beabadoobee
44,Señorita,Shawn Mendes and Camila Cabello
45,Highest in the Room,Travis Scott
46,Bad Guy,Billie Eilish
47,Mood,24kGoldn featuring Iann Dior
48,Rain on Me,Lady Gaga and Ariana Grande
49,For the Night,Pop Smoke featuring Lil Baby and DaBaby
50,Ritmo (Bad Boys for Life),Black Eyed Peas and J Balvin
51,Heart on Ice,Rod Wave
52,Nobody but You,Blake Shelton and Gwen Stefani
53,Trampoline,Shaed
54,Come & Go,Juice Wrld and Marshmello
55,Truth Hurts,Lizzo
56,If the World Was Ending,JP Saxe featuring Julia Michaels
57,We Paid,Lil Baby and 42 Dugg
58,Yummy,Justin Bieber
59,One Man Band,Old Dominion
60,Got What I Got,Jason Aldean
61,Sunday Best,Surfaces
62,Godzilla,Eminem featuring Juice Wrld
63,Bandit,Juice Wrld and YoungBoy Never Broke Again
64,Party Girl,StaySolidRocky
65,Die from a Broken Heart,Maddie & Tae
66,Popstar,DJ Khaled featuring Drake
67,All I Want for Christmas Is You,Mariah Carey
68,One of Them Girls,Lee Brice
69,Hard to Forget,Sam Hunt
70,One Margarita,Luke Bryan
71,Panini,Lil Nas X
72,Hot,Young Thug featuring Gunna
73,I Hope You're Happy Now,Carly Pearce and Lee Brice
74,Emotionally Scarred,Lil Baby
75,Suicidal,YNW Melly featuring Juice Wrld
76,The Bigger Picture,Lil Baby
77,Only Human,Jonas Brothers
78,The Woo,Pop Smoke featuring 50 Cent and Roddy Ricch
79,Sum 2 Prove,Lil Baby
80,Stuck with U,Ariana Grande and Justin Bieber
81,Mood Swings,Pop Smoke featuring Lil Tjay
82,You Should Be Sad,Halsey
83,Dior,Pop Smoke
84,Supalonely,Benee featuring Gus Dapperton
85,Even Though I'm Leaving,Luke Combs
86,The Scotts,The Scotts (Travis Scott and Kid Cudi)
87,Juicy,Doja Cat and Tyga
88,Be Like That,Kane Brown Swae Lee and Khalid
89,Homesick,Kane Brown
90,Rags2Riches,Rod Wave featuring ATR Son Son
91,Bluebird,Miranda Lambert
92,Wishing Well,Juice Wrld
93,Does to Me,Luke Combs featuring Eric Church
94,Pussy Fairy (OTW),Jhené Aiko
95,ILY (I Love You Baby),Surf Mesa featuring Emilee
96,More Than My Hometown,Morgan Wallen
97,Lovin' on You,Luke Combs
98,Said Sum,Moneybagg Yo
99,Slide,H.E.R. featuring YG
100,Walk Em Down,NLE Choppa featuring Roddy Ricch
